Country,Very happy,Quite happy,Not very happy,Not at all happy,NA,DK,(N)
Total,27.5,48.9,19.4,3.2,0,0.9,55.03.00
Argentina,28.8,52.8,14.9,2.4,0,1.1,02.19
Australia,42.8,51.5,4.4,1,0,0.3,02.48
Chile,27,52.7,19.2,0.7,0,0.4,1
China,22.7,60.9,14.1,1.7,0,0.6,1.5
Taiwan,29.7,60.9,7.3,1.5,0.3,0.3,780
Colombia,47.1,37.2,14.7,1,0,0,18.36
Georgia,11.6,53.6,29.1,5.2,0,0.4,02.08
India,29.9,46,19.8,2.8,0,1.5,02.04
Japan,32.5,56.5,8.9,0.6,0,1.4,01.54
South Korea,11.9,76.9,10.1,1,0,0.1,05.09
Mexico,31.5,38.1,26.3,2.6,0,1.5,01.51
Moldova,3.6,39.8,47.7,7.8,0,1.1,984
New Zealand,32.8,61.5,4.3,0.6,0.7,0.1,04.21
Nigeria,46.2,38.1,12.4,2.9,0.4,0.1,17.36
Pakistan,27.9,51.2,16.9,4,0,0,733
Peru,28.2,34.7,35.1,1.2,0,0.8,04.31
Philippines,40.2,52.2,6.3,1.1,0,0.1,1.2
Poland,18.3,67,11.5,2.5,0,0.7,03.33
Romania,5.1,51,35.2,7.1,0,1.6,04.59
Russia,6.1,44.1,40.3,7.6,0,1.9,02.04
Slovenia,13.4,60.4,22.5,2.8,0,0.9,01.07
South Africa,35.3,37.1,21.7,5.6,0,0.3,17.35
Spain,18.7,67.8,12.2,0.9,0,0.3,04.31
Sweden,39.2,54.7,4.1,0.8,0,1.2,01.09
Turkey,51,37.3,9.4,2.1,0,0.1,16.07
Ukraine,4.9,40.9,40.9,8.4,0,4.8,15.31
United States,46.3,47.5,5.3,0.5,0,0.4,10.02
Uruguay,20.6,58.8,17.6,2.4,0,0.6,1
Serbia,13.9,56,24.5,4.5,0,1.1,01.28
