Country,Very important,Rather important,Not very important,Not at all important,NA,DK,(N)
Total,32.5,42.3,18.9,4.6,0.1,1.6,55.03.00
Argentina,26.4,49.3,20,3.3,0,0.9,02.19
Australia,44.4,44.4,9.8,0.6,0,0.8,02.48
Chile,42,43.6,10.7,1.8,0,2,1
China,10.7,43.9,36.6,6,0,2.9,1.5
Taiwan,25.8,51.8,20.8,1,0,0.6,780
Colombia,49.8,35.6,12.9,1.6,0,0.1,18.36
Georgia,36.2,44.8,14.1,4.3,0,0.6,02.08
India,11.1,24.9,40.1,21.9,0,2,02.04
Japan,39.8,49.1,8.8,0.6,0,1.7,01.54
South Korea,22.7,62.8,12.4,1.3,0.2,0.6,05.09
Mexico,35.5,36.5,23,3.6,0,1.4,01.51
Moldova,22.3,45.9,22.8,7.3,0,1.7,984
New Zealand,45,43.5,6.6,0.7,4.2,0.1,04.21
Nigeria,50.4,32.2,13.8,2.5,0,1.1,17.36
Pakistan,12.5,26.5,34,21.8,0,5.2,733
Peru,28.5,38,25.9,4.3,0,3.3,04.31
Philippines,14.2,41.4,35.6,8.5,0,0.2,1.2
Poland,23,54.9,16.7,2.4,0,3,03.33
Romania,27,45.4,21.1,5.1,0,1.4,04.59
Russia,25.8,44.5,24.4,3.8,0,1.6,02.04
Slovenia,33.3,44.4,19.1,2.7,0,0.6,01.07
South Africa,31.5,39.7,19.6,7.7,0,1.5,17.35
Spain,30.2,52,15.4,1.4,0,1,04.31
Sweden,51.4,43,4.4,0.7,0,0.5,01.09
Turkey,40.1,38.3,16.6,3.3,0,1.6,16.07
Ukraine,24.8,44.3,19.7,5.8,0,5.4,15.31
United States,42.3,45.7,10.7,0.8,0,0.5,10.02
Uruguay,46.4,41.3,9,1.5,0,1.8,1
Serbia,25.9,45.6,24.2,3,0,1.2,01.28
