Country,Dissatisfied,2,3,4,5,6,7,8,9,Satisfied,NA,DK,(N),Mean,Standard Deviation,Base mean
Total,6.8,3.5,6.1,6.6,14.9,9.8,12.1,15.5,9.7,13.7,0.1,1.1,53.21.00,06.33,03.05,45.06.00
Argentina,3.4,2.3,2.4,4.2,15.8,9.7,17.4,19.4,7.5,17.7,0,0.3,02.19,07.32,02.32,02.15
Australia,0.5,1,2.5,2.9,9.1,6.7,16.3,29.3,16.6,14.7,0,0.4,02.48,07.55,02.28,02.04
Chile,2,0.9,3,5.6,14.8,16.6,14.1,18.8,9.1,14.9,0,0.3,1,07.31,02.14,997
China,3.4,3.2,4.2,4.9,11.9,13.4,14,17,11.1,16.5,0,0.3,1.5,07.23,02.42,09.15
Taiwan,1.9,0.6,4.2,4.4,17.3,21.9,16.3,17.4,6.9,8.7,0.1,0.1,780,06.56,02.37,778
Colombia,0.5,0.4,0.7,1.4,4.1,4.8,9.6,24.6,19.6,34.3,0,0,18.36,08.42,02.08,18.35
Georgia,17.8,6.1,10.4,11,19.6,10,7.8,8.2,4,4.6,0,0.5,02.08,05.08,03.01,17.37
India,6.5,2.8,5.2,5.4,11.1,10.6,13.2,14.7,10.6,14.3,0,5.6,02.04,06.53,03.04,16.25
Japan,1.5,1.5,3.7,4.3,14,19.5,17.1,23.4,7.3,5.2,0,2.4,01.54,07.01,1.9,01.29
Mexico,2,1,2.5,3.6,7.4,8,11.6,20.7,18.4,23.5,0,1.3,01.51,08.09,02.17,01.49
Moldova,28.2,8.2,13.7,11,17.5,7.7,5.6,3.9,2.3,1.7,0,0.2,984,04.13,2.4,982
New Zealand,1.4,0.7,2.7,2.2,8.1,6.5,13.9,24.3,16.8,20.9,1.7,0.7,04.21,7.7,02.03,03.52
Nigeria,5.3,3.7,5.4,7.7,10,11.2,12.8,15.8,11.8,15.8,0.4,0.1,17.36,6.6,03.01,17.28
Peru,4.5,2.6,4.6,5.9,20.4,14.1,13.5,11.5,6.4,14.8,0,1.7,04.31,06.36,02.43,04.11
Philippines,2.4,1.8,3.4,5.2,20.9,11.9,10.4,15.2,10.1,18.5,0,0.1,1.2,07.24,02.35,04.19
Poland,4.2,2.9,4.2,6.2,20.4,11.9,13.4,14.3,7.5,13.9,0,1,03.33,06.42,02.42,03.22
Romania,11.5,9.5,10.3,12.6,16.9,11.3,10.2,9.1,5.3,2.7,0,0.4,04.59,05.26,02.48,04.54
Russia,16,8.4,14.6,11.4,20.6,6.4,6.7,7.7,2.8,4.3,0,1.1,02.04,04.45,02.52,02.17
Slovenia,2.7,1.5,3.5,7.1,20.1,14.5,16.1,17.1,7.8,9,0,0.7,01.07,06.46,02.13,1
South Africa,10.6,5.7,8.7,10.5,16.5,8.7,8.9,12.2,6.3,11.5,0,0.3,17.35,05.59,03.19,17.25
Spain,1.2,0.9,3.8,5.4,18.1,15.8,28.8,2.2,15,8.1,0,0.7,04.31,07.01,02.37,04.23
Sweden,0.6,0.5,1.7,3.3,6.8,5.6,16.3,28.3,19.3,17.3,0,0.2,01.09,08.17,02.21,01.07
Turkey,7.5,2,5.6,5,27,8.1,9.5,12.8,3.7,18.3,0.4,0,16.07,6.2,03.05,15.59
Ukraine,18.4,9.5,15.5,12.5,19.6,6.8,4.6,4.3,1.7,2.1,0,5.1,15.31,04.35,02.28,13.09
United States,0.9,1.2,1.8,2.8,7.9,7.4,15.5,25.6,18,18.5,0,0.4,10.02,08.07,02.34,09.57
Uruguay,2.3,1,4.2,5.7,13.8,10.2,15.7,17,9.2,20.5,0,0.4,1,07.06,02.31,996
Serbia,6.8,5.3,9.8,8.9,20.7,9.8,13.3,12.2,6.1,5.9,0,1.2,01.28,05.56,02.45,05.25
