Country,Very happy,Quite happy,Not very happy,Not at all happy,NA,DK,(N)
Total,30.8,50.2,15.4,2.9,0,0.7,36.35.00
Argentina,33,48.4,15.5,2.4,0,0.7,01.28
Chile,36,43.9,18.9,0.6,0,0.6,1.2
China,11.5,66.3,19,2.8,0.4,0,1
India,25.3,47.6,20.9,4.5,0,1.7,02.02
Japan,27.8,58.7,9.9,0.6,0,3,07.02
South Korea,9.6,78.1,10.7,1.7,0,0,1.2
Mexico,56.5,34.5,7.2,1,0,0.8,09.55
Moldova,6,43.4,43.6,4.1,0,2.9,01.08
Nigeria,66.8,25,7.3,0.9,0,0,02.22
Pakistan,19.6,56,20.5,2.6,0,1.3,2
Peru,30.8,35.3,32.1,1.6,0,0.2,09.21
Philippines,38.4,49.2,11.7,0.6,0,0.1,1.2
South Africa,38.5,38.8,18.4,4.2,0,0.1,3
Spain,20.1,66.9,11,1.4,0,0.6,04.29
Sweden,36.6,56.8,4.8,1.5,0,0.3,01.14
Turkey,34.5,42.5,14,8.9,0,0.1,09.41
Egypt,18.1,71.3,8.8,1.6,0,0.2,3
United States,39,54,5.8,0.5,0,0.7,1.2
Serbia,12,61.5,20.8,3.8,0,1.9,1.2
