Country,Very important,Rather important,Not very important,Not at all important,NA,DK,(N)
Total,92.3,6.5,0.8,0.1,0,0.2,36.35.00
Argentina,90.2,8.4,1,0.3,0,0.1,01.28
Chile,96.4,2.8,0.5,0.3,0,0,1.2
China,60.2,36.2,2.7,0.1,0,0.8,1
India,91.9,6,1.2,0.1,0,0.7,02.02
Japan,91.3,6.4,0.7,0.1,0,1.5,07.02
South Korea,89.6,10,0.4,0,0,0,1.2
Mexico,96.6,2.2,0.8,0.2,0,0.1,09.55
Moldova,85,12.1,1.7,0.3,0,0.9,01.08
Nigeria,98.9,0.9,0.1,0,0,0,02.22
Pakistan,92.6,6.4,1,0.2,0,0,2
Peru,82.4,16.7,0.7,0.1,0,0.1,09.21
Philippines,98.6,1.3,0.1,0,0,0,1.2
South Africa,95.2,3,1.7,0.1,0,0,3
Spain,85.4,13.4,0.9,0.2,0,0.2,04.29
Sweden,89.4,8.5,1.8,0.2,0,0.1,01.14
Turkey,97.3,2.1,0.3,0.2,0.1,0,09.41
Egypt,96.4,3.3,0.2,0.1,0,0,3
United States,95.3,3.8,0.4,0.4,0,0.1,1.2
Serbia,92,7.1,0.8,0.1,0,0.1,1.2
