Country,Very important,Rather important,Not very important,Not at all important,NA,DK,(N)
Total,59.1,19.2,12.4,8.1,0,1.2,36.35.00
Argentina,46.3,26.3,18.2,8.6,0,0.6,01.28
Chile,46.3,33.4,14.2,5.4,0,0.8,1.2
China,2.5,6.3,25.3,59.9,0,6,1
India,55.8,23.4,11.6,7.1,0,2,02.02
Japan,6.4,13.1,31.6,36.4,0,12.4,07.02
South Korea,23.2,28.9,31.3,16.4,0,0.1,1.2
Mexico,67.7,19.8,8.9,3.1,0,0.5,09.55
Moldova,33.9,39.5,17.7,5.2,0,3.8,01.08
Nigeria,92.8,6.1,0.7,0.2,0,0.1,02.22
Pakistan,81.8,13.1,4.6,0.5,0,0,2
Peru,52.5,31.4,13.9,2.1,0,0.1,09.21
Philippines,86.8,10.6,2.3,0.3,0,0,1.2
South Africa,69.7,21.8,5.3,3.1,0,0.1,3
Spain,21.9,27.3,30.9,19.3,0,0.5,04.29
Sweden,10.6,24.2,42.3,22.2,0,0.7,01.14
Turkey,80.3,13.1,3.7,2.7,0.2,0,09.41
Egypt,97.3,2.5,0.1,0,0,0,3
United States,56.9,25.4,12.4,4.9,0,0.3,1.2
Serbia,28.7,39.1,24.4,6.2,0,1.5,1.2
