Country,Very important,Rather important,Not very important,Not at all important,Inapplicable,NA,DK,(N)
Total,43.5,41.6,11.7,2.3,0,0.4,0.5,43.41.00
Argentina,59.4,25.9,11.8,2.3,0,0.3,0.2,01.02
Australia,57.6,36.2,4.7,0.1,0,1.3,0,08.01
Chile,23.6,35.8,29.4,10.4,0,0.4,0.3,1
China,30.3,52.6,12.7,0.5,0,0.3,3.5,17.31
Taiwan,39.5,52.8,7.4,0.3,0,0,0,04.47
Georgia,78.1,20,1.5,0.2,0,0,0.3,1.5
India,42.3,41.1,11.5,2.8,0,0,2.2,02.01
Japan,44.9,47.9,5.3,0.2,0,1.7,0,02.36
South Korea,44.5,49.3,6.1,0.1,0,0,0,1.2
Mexico,36.1,42.4,17.1,3.9,0,0.3,0.2,01.56
Moldova,23.1,52.5,21.7,2.5,0,0,0.2,01.46
New Zealand,54.9,37.9,4.1,0.4,0,2.5,0.1,954
Peru,21.9,30.7,43.4,3.3,0,0.7,0,1.5
Poland,34.7,58,6.6,0.4,0,0,0.3,1
Romania,24.1,46.7,22.6,4,0,1.5,1.1,13.56
Russia,37.4,51.1,8.7,1.3,0.1,0.5,0.9,02.33
Slovenia,51.1,39,8.9,0.8,0,0.2,0.1,01.37
South Africa,33.9,39.4,17.8,8.7,0,0,0.2,18.28
Spain,49.3,44.8,5.1,0.6,0.2,0,0,1.2
Sweden,71.3,26.7,1.9,0.1,0,0,0,01.03
Turkey,61.8,35.5,1.9,0.8,0.1,0,0,06.46
Ukraine,37.5,46,12.7,2.8,0,0.4,0.7,1
Egypt,43.2,46.7,8.3,1.8,0,0.1,0,03.51
United States,59.6,35.3,4.2,0.6,0,0.3,0,05.09
Uruguay,51.5,33,10.8,4,0,0.7,0,1
Serbia,55.2,39.3,4.4,0.3,0,0,0.7,01.22
