Country,Very important,Rather important,Not very important,Not at all important,Inapplicable,NA,DK,(N)
Total,33.9,42.8,17.8,3.9,0,0.6,0.9,43.41.00
Argentina,40.1,42.4,14.6,1.8,0,0.6,0.4,01.02
Australia,44.8,45.7,6.9,0.3,0,2.2,0,08.01
Chile,47.2,37.9,11.9,2.2,0,0.5,0.3,1
China,11.4,38.9,39.5,3.7,0,0.8,5.8,17.31
Taiwan,34.4,49.8,14.6,1.3,0,0,0,04.47
Georgia,39.3,44.3,12.3,3.2,0,0.3,0.6,1.5
India,23.6,36.1,24.2,12.6,0,0,3.4,02.01
Japan,40.3,49.8,6.6,0.5,0,2.7,0,02.36
South Korea,24.1,60.9,13.8,1.2,0,0.1,0,1.2
Mexico,54.9,29.4,12.7,2.1,0,0.4,0.6,01.56
Moldova,20.8,46.2,27.6,4.6,0,0,0.8,01.46
New Zealand,48.2,39.3,8.1,0.7,0,3.5,0.2,954
Peru,32.3,34.5,27.1,4,0,2.1,0,1.5
Poland,29.8,52.9,13.5,1.7,0,0,2.1,1
Romania,26.1,42.8,22.5,4.9,0,2.2,1.4,13.56
Russia,29.3,46.6,18.4,3.7,0.2,0.5,1.3,02.33
Slovenia,43.2,43,11.7,1.6,0,0.2,0.3,01.37
South Africa,37.1,39.2,17.3,6,0,0,0.5,18.28
Spain,43.5,46.3,8.9,1,0.2,0,0.1,1.2
Sweden,53.6,41.7,4.5,0.3,0,0,0,01.03
Turkey,47.2,40.1,10.3,2.3,0.1,0,0,06.46
Ukraine,29.6,48,15.7,5.2,0,0.4,1.1,1
Egypt,13.3,40.4,35.1,11,0,0.1,0.1,03.51
United States,37.3,51.1,9.9,0.8,0,0.8,0,05.09
Uruguay,42.4,45.1,8.7,2.7,0,1.1,0,1
Serbia,40.4,42.6,14.3,1.7,0,0,0.9,01.22
