Country,Very important,Rather important,Not very important,Not at all important,Inapplicable,NA,DK,(N)
Total,11.4,27.3,34.7,23.9,0,0.8,1.9,43.41.00
Argentina,8.4,21.8,32.7,36.1,0,0.3,0.7,01.02
Australia,9.6,38.1,40.6,9.6,0,2.2,0,08.01
Chile,5.6,14.5,32.3,45.8,0,1.5,0.3,1
China,13.3,34.9,28,5.6,0,0.4,17.8,17.31
Taiwan,6.7,22.2,45,26,0,0,0,04.47
Georgia,19,43.9,24.9,11.7,0,0.2,0.3,1.5
India,14.4,22.8,31.2,25.2,0,0,6.3,02.01
Japan,19.7,41.7,27.6,3.6,0,7.4,0,02.36
South Korea,17.7,36.5,34.3,11.4,0,0.1,0,1.2
Mexico,19.7,26.8,27.3,24.1,0,0.6,1.4,01.56
Moldova,4.6,21,46.4,27.7,0,0,0.3,01.46
New Zealand,6,33.3,44.8,11.4,0,3.5,1,954
Peru,11,17,39.8,30.3,0,1.9,0,1.5
Poland,5.2,23.5,42.4,27.4,0,0,1.5,1
Romania,4.1,17.3,39.6,36.3,0,1.7,1,13.56
Russia,7.9,26.5,39.8,22.7,0,0.6,2.4,02.33
Slovenia,3.9,11.9,45.3,38.3,0,0.2,0.5,01.37
South Africa,21.7,25.6,28.6,22.7,0,0,1.4,18.28
Spain,7.6,21.3,43.1,27.6,0.1,0.1,0.2,1.2
Sweden,15.5,47.1,29.3,8.1,0,0,0,01.03
Turkey,12.7,24.5,30.4,32,0.1,0,0.3,06.46
Ukraine,8.9,29.5,35.2,24,0,0.3,2.1,1
Egypt,9.1,28.2,27.3,35.2,0,0,0.1,03.51
United States,10.8,39.9,39.7,8.5,0,1,0,05.09
Uruguay,12.2,21.3,29,36.5,0,1,0,1
Serbia,4.7,17.1,44.2,32.7,0,0.1,1.2,01.22
