Country,Very important,Rather important,Not very important,Not at all important,Inapplicable,NA,DK,(N)
Total,41.1,24.2,19.1,12.8,0,0.9,2,43.41.00
Argentina,33.1,31.6,23.7,10.5,0,0.9,0.1,01.02
Australia,19.2,19.4,30.9,28.9,0,1.6,0,08.01
Chile,39.6,33.3,18.2,8.1,0,0.5,0.3,1
China,5,11.2,24.1,34.5,0,0.8,24.3,17.31
Taiwan,12.4,39.3,35.8,12.5,0,0,0,04.47
Georgia,79.5,16.9,1.9,0.9,0,0.3,0.5,1.5
India,49.7,28.3,13.4,5.3,0,0,3.3,02.01
Japan,5.7,11.6,31.7,39.7,0,11.3,0,02.36
South Korea,21.1,25.8,34.5,18.6,0,0,0,1.2
Mexico,58.7,26,11.4,3.4,0,0.4,0.1,01.56
Moldova,31.7,41.1,20.4,6.6,0,0,0.2,01.46
New Zealand,16.6,17.7,29.5,32.2,0,2.8,1.3,954
Peru,49.1,26.5,18.7,4.7,0,1,0,1.5
Poland,47.2,38.5,10.3,2.7,0,0,1.2,1
Romania,57,32,7,2.4,0,1.5,0.1,13.56
Russia,13.1,33.4,31,17.9,0.1,0.8,3.8,02.33
Slovenia,15.1,27.2,30.6,25.7,0,1,0.4,01.37
South Africa,69.9,20.1,6.5,3,0,0,0.5,18.28
Spain,14.8,24.1,31,29.7,0,0.3,0.2,1.2
Sweden,9.3,19.9,40.7,29.6,0,0.5,0,01.03
Turkey,74.6,16.6,6.2,2.5,0,0.1,0.1,06.46
Ukraine,17.6,37.4,26.7,14.6,0,0.6,3.1,1
Egypt,95.4,4.1,0.2,0.2,0,0,0,03.51
United States,47,24.1,19.5,8.7,0,0.7,0,05.09
Uruguay,22.6,23,27.5,25.9,0,1,0,1
Serbia,25.3,40.2,26.4,6.5,0,0.2,1.4,01.22
