Country,Dissatisfied,2,3,4,5,6,7,8,9,Satisfied,Inapplicable,NA,DK,(N),Mean,Standard Deviation,Base mean
Total,3.4,2.2,4.8,4.9,13.2,10.2,16.3,19.3,10.1,14.2,0,0.6,0.6,47.06.00,6.8,02.35,54.38.00
Argentina,1.2,0.7,2,1.4,7.3,5.3,18.8,26.6,13.4,22.5,0,0.2,0.5,01.02,08.19,02.31,995
Australia,1.2,1.3,2.1,2.8,8,8.5,21.7,32.1,13.3,8.1,0,0.7,0,08.01,07.28,02.22,07.51
Chile,1,0.3,2.8,6.1,12.6,12.8,15.8,19.9,12.8,15.1,0,0.6,0.2,1,07.16,02.03,992
China,4.5,2.9,4.2,3.8,10.4,15,12.1,21.6,9.2,14.3,0,0.1,1.7,17.31,07.16,02.43,16.54
Taiwan,2.8,1.5,3.4,4.2,17.3,16.8,17.7,21.4,5.7,9.1,0,0,0,04.47,06.58,02.06,04.47
Colombia,1.5,0.7,0.7,1.3,5.7,5.2,11,19.9,16,37.9,0,0,0.2,03.25,08.31,02.34,03.18
Georgia,8.5,6.1,10.3,13.6,25.1,10.7,10.7,7.4,1.7,4.3,0,0.4,1.2,1.5,05.36,02.25,08.56
India,3.5,0,15.4,0,41,0,21.8,0,0,15.8,0,0.1,2.2,02.01,5.8,02.35,16.53
Japan,0.9,1.1,3.7,3.5,8.4,15.6,20,27.5,13.3,4.6,0,1.5,0,02.36,07.39,02.21,01.08
South Korea,2.2,1.3,4.8,8.3,14.2,16.4,22.9,18.9,7.2,3.6,0,0.2,0,1.2,06.35,02.34,04.18
Mexico,2.5,0.6,1,1.2,5.5,3.8,7.5,24.4,16.4,34,0,1.9,1.2,01.56,08.23,02.05,09.32
Moldova,4.4,6.6,9.5,14.3,16.4,14.4,12.5,12.1,6.3,2.9,0,0,0.5,01.46,05.45,02.26,01.41
New Zealand,0.7,0.8,1.7,2.1,5.2,7,15.6,23.5,19.1,21.4,0,2.8,0,954,08.29,02.26,927
Peru,2,1.6,3.8,4.8,12.8,11,18.5,18.5,7.5,18.8,0,0.7,0,1.5,07.04,02.23,09.09
Poland,1.4,1.5,3.5,3.6,14.6,11.9,15,23.6,11.3,12.6,0,0.2,0.9,1,07.02,02.08,989
Romania,5.2,4.6,9.2,8.1,15.9,10.1,13.9,16,6,4.3,0,6.1,0.5,13.56,06.15,02.38,11.58
Russia,5.9,3.9,5.1,7.9,18.1,10.5,15.3,16.9,6.7,8.7,0,0.1,0.9,02.33,06.09,02.44,02.14
Slovenia,1,0.6,1.8,2.4,16.1,11.8,16.7,23.1,10,16.1,0,0.1,0.3,01.37,07.24,02.35,01.33
South Africa,3.5,2.6,3.5,5.3,10.1,11.2,14.2,18.1,13.7,17.4,0,0,0.5,18.28,07.03,2.4,18.14
Spain,0.3,0.2,1.4,2,7,13.7,26.9,28.2,14.2,5.8,0.1,0.2,0.2,1.2,07.32,1.5,04.15
Sweden,0.5,0.5,1.6,2.1,4.4,6.1,18.8,36.3,17.9,11.6,0,0,0,01.03,08.14,02.01,01.03
Turkey,2.9,1.3,3.6,2.8,5.4,9.9,17.3,21.2,15.1,20.6,0,0,0,06.46,07.46,02.23,06.46
Ukraine,5.1,5.6,11.5,7.9,14.6,14.6,15.4,14,6.5,4.2,0,0.2,0.3,1,06.07,02.36,995
Egypt,10.3,4.1,7.7,8.4,16.6,10.3,14,12.2,5.4,11,0,0,0,03.51,06.14,03.09,03.05
United States,0.5,0.9,2,3.9,7.3,9.6,22.9,28.1,17.5,6.7,0.4,0.4,0,05.09,07.32,02.12,01.24
Uruguay,1.9,0.2,1.2,1.9,7.6,12.5,21.8,24.5,11.5,16.2,0,0.7,0,1,07.46,02.27,993
Serbia,2.5,4.3,6.9,8,14.5,13.9,21.5,17.2,4.4,3.1,0,0.4,3.3,01.22,06.01,02.09,03.55
