Country,Very important,Rather important,Not very important,Not at all important,Inapplicable,NA,DK,(N)
Total,59.2,27.4,7.1,4.1,0.4,0.6,1.2,53.34.00
Argentina,57.4,29.8,7,4.4,0,0.9,0.4,01.03
Australia,30.2,51.4,8.6,5.9,0,3.9,0,08.57
Chile,56.3,32.5,5.8,2.9,0,1.4,1.1,1
China,38.1,41.5,13.3,2.7,0,1.5,2.9,2.3
Taiwan,60.2,29.9,6.2,2.5,0,0.1,1.1,04.58
Colombia,76.3,22.1,0.9,0.7,0,0.1,0.1,09.32
Georgia,73.1,15.6,6.4,4.7,0,0,0.1,04.22
India,77.3,16.8,2.5,1.7,0,0,1.7,05.18
Japan,52.1,32.1,8.4,1.9,0,0,5.4,09.23
South Korea,60.8,29.8,4.8,3.4,0,1.2,0,1.2
Mexico,87,8.5,2.8,1.7,0,0,0,2
New Zealand,35,46.1,8.1,5,0,5.2,0.6,841
Nigeria,76.8,16.3,3.9,2.9,0,0,0,13.39
Pakistan,72.8,17.3,4.9,3.2,0,0.9,0.8,1.2
Peru,69.1,25.6,3.2,0.6,0,1.3,0.3,01.21
Philippines,90.5,7.5,1.4,0.4,0,0,0.1,1.2
Poland,64.2,25,4,3.8,0,1.1,1.8,966
Romania,55.9,34.3,6.4,2.8,0,0.2,0.3,09.23
Russia,45,29.3,9.4,9.7,4.9,0.5,1.2,2.5
Slovenia,41.3,46.9,8.8,1.8,0,0.8,0.4,02.09
South Africa,57.5,22.6,9.4,6.1,0,0,4.4,11.51
Spain,62.4,22.3,7.8,6.3,0,0.8,0.4,04.09
Sweden,50.3,34.6,7.5,2.5,4.7,0.1,0.3,04.26
Turkey,49.6,31.7,11.9,5.7,0,0.2,0.9,11.05
Ukraine,52.6,26.2,12,9.2,0,0,0,1.5
Egypt,61,21.3,9.7,8,0,0,0,09.43
United States,35.6,44.3,12.9,6.6,0,0.6,0,05.52
Uruguay,63.7,26,4.8,4.5,0,0.3,0.7,1
